SPECIES,SPECIES.NAME,SPECIES.CODE,CANOPY.COVER,REG.N.HA.MEAN,REG.N.HA.SD
\textit{Aspidosperma cruentum},Bayo,ASCR,999,239.5762473,678.5800509
\textit{Aspidosperma cruentum},Bayo,ASCR,50,0,0
\textit{Aspidosperma cruentum},Bayo,ASCR,60,0,0
\textit{Aspidosperma cruentum},Bayo,ASCR,65,151.4285714,159.5913148
\textit{Aspidosperma cruentum},Bayo,ASCR,70,1192.826618,1603.490112
\textit{Aspidosperma cruentum},Bayo,ASCR,75,384.4497837,574.6968134
\textit{Aspidosperma cruentum},Bayo,ASCR,80,153.462689,95.54721272
\textit{Aspidosperma cruentum},Bayo,ASCR,85,34.44231662,37.60558781
\textit{Swietenia macrophylla},Caoba,SWMA,999,4.965498996,10.99830418
\textit{Swietenia macrophylla},Caoba,SWMA,50,0,0
\textit{Swietenia macrophylla},Caoba,SWMA,60,19.76190476,22.68536644
\textit{Swietenia macrophylla},Caoba,SWMA,65,2.564102564,6.28074293
\textit{Swietenia macrophylla},Caoba,SWMA,70,10.27221298,11.99902621
\textit{Swietenia macrophylla},Caoba,SWMA,75,5.736022945,5.327938375
\textit{Swietenia macrophylla},Caoba,SWMA,80,1.389748718,1.53637767
\textit{Swietenia macrophylla},Caoba,SWMA,85,0,0
\textit{Bursera simarouba},Chaca roja,BUSI,999,44.40961374,124.52203
\textit{Bursera simarouba},Chaca roja,BUSI,50,25,61.23724357
\textit{Bursera simarouba},Chaca roja,BUSI,60,0,0
\textit{Bursera simarouba},Chaca roja,BUSI,65,84.28571429,76.31834508
\textit{Bursera simarouba},Chaca roja,BUSI,70,218.6050061,296.1174541
\textit{Bursera simarouba},Chaca roja,BUSI,75,13.77735894,8.726110196
\textit{Bursera simarouba},Chaca roja,BUSI,80,10.79758558,17.48502314
\textit{Bursera simarouba},Chaca roja,BUSI,85,2.81124498,6.886115743
\textit{Sickingia salvadorensis},Chaktekok,SISA,999,44.61736845,175.268239
\textit{Sickingia salvadorensis},Chaktekok,SISA,50,0,0
\textit{Sickingia salvadorensis},Chaktekok,SISA,60,242.8571429,475.2657688
\textit{Sickingia salvadorensis},Chaktekok,SISA,65,53.35775336,69.12502988
